ticker,trade_date,open_price,high_price,low_price,close_price
TCS.NS,2026-08-11,2438.0,2456.60009765625,2428.0,2445.699951171875
TCS.NS,2026-08-12,2445.699951171875,2445.800048828125,2300.10009765625,2349.699951171875
TCS.NS,2026-08-13,2349.699951171875,2375.0,2332.300048828125,2375.0
TCS.NS,2026-08-14,2375.10009765625,2390.0,2333.39990234375,2361.0
TCS.NS,2026-08-17,2351.0,2361.10009765625,2310.60009765625,2313.199951171875
TCS.NS,2026-08-18,2300.0,2307.0,2280.0,2280.0
TCS.NS,2026-08-19,2293.60009765625,2308.199951171875,2258.300048828125,2283.0
RELIANCE.NS,2026-08-11,1326.5999755859375,1328.699951171875,1314.0999755859375,1323.9000244140625
RELIANCE.NS,2026-08-12,1323.9000244140625,1329.0,1309.199951171875,1329.0
RELIANCE.NS,2026-08-13,1327.800048828125,1327.800048828125,1307.199951171875,1317.0
RELIANCE.NS,2026-08-14,1317.0,1317.5,1301.5,1310.0
RELIANCE.NS,2026-08-17,1314.0,1320.800048828125,1298.0999755859375,1316.0
RELIANCE.NS,2026-08-18,1314.0,1328.5999755859375,1311.199951171875,1322.0
RELIANCE.NS,2026-08-19,1320.300048828125,1321.5999755859375,1310.5,1313.4000244140625
TCS.NS,2006-08-21,244.0,244.0,239.25,242.3249969482422
TCS.NS,2006-08-22,243.0,245.75,242.5,243.85000610351562
TCS.NS,2006-08-23,244.0,244.6875,240.02499389648438,240.77499389648438
TCS.NS,2006-08-24,242.5,243.72500610351562,238.3125,242.60000610351562
TCS.NS,2006-08-25,242.75,244.22500610351562,241.91250610351562,243.60000610351562
TCS.NS,2006-08-28,243.75,246.3249969482422,242.0749969482422,245.27499389648438
TCS.NS,2006-08-29,246.25,248.0,245.75,247.52499389648438
TCS.NS,2006-08-30,247.77499389648438,248.75,245.2624969482422,245.9499969482422
TCS.NS,2006-08-31,246.0,251.0,246.0,249.5124969482422
TCS.NS,2006-09-01,249.0,250.25,247.77499389648438,249.8125
TCS.NS,2006-09-04,249.75,255.0,249.75,254.28750610351562
TCS.NS,2006-09-05,255.75,257.5,250.25,251.4499969482422
TCS.NS,2006-09-06,254.375,254.375,247.77499389648438,248.39999389648438
TCS.NS,2006-09-07,245.0749969482422,248.75,245.0749969482422,246.6750030517578
TCS.NS,2006-09-08,251.5,251.5,246.25,247.75
